# Satellite Name: Multiple
# Target Name: HGV_00002
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 0
# Number of Records: 177
# ---------------------------------------------
Strand Name,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
OBS_001 to HGV_00002,22 Jul 2025 00:09:01.544807064,22 Jul 2025 00:28:31.987111000,1170.442303936372
OBS_002 to HGV_00002,21 Jul 2025 23:59:59.983963000,22 Jul 2025 00:22:52.972610950,1372.9886479496115
OBS_003 to HGV_00002,21 Jul 2025 23:59:59.989892000,22 Jul 2025 00:15:58.773435743,958.7835437430601
OBS_004 to HGV_00002,21 Jul 2025 23:59:59.985142000,22 Jul 2025 00:06:41.255691641,401.2705496410394
OBS_011 to HGV_00002,22 Jul 2025 00:27:02.819302836,22 Jul 2025 00:28:31.985569000,89.16626616446592
OBS_012 to HGV_00002,22 Jul 2025 00:18:30.230830023,22 Jul 2025 00:28:31.993319000,601.7624889774113
OBS_020 to HGV_00002,22 Jul 2025 00:27:12.970792868,22 Jul 2025 00:28:31.985046000,79.0142531319027
OBS_021 to HGV_00002,22 Jul 2025 00:17:27.652431270,22 Jul 2025 00:28:31.987923000,664.3354917295455
OBS_022 to HGV_00002,21 Jul 2025 23:59:59.984169000,22 Jul 2025 00:26:21.068553999,1581.0843849992568
OBS_023 to HGV_00002,21 Jul 2025 23:59:59.994708000,22 Jul 2025 00:19:30.990063868,1170.9953558675547
OBS_024 to HGV_00002,21 Jul 2025 23:59:59.990058000,22 Jul 2025 00:11:05.635796429,665.6457384294266
OBS_031 to HGV_00002,21 Jul 2025 23:59:59.986402000,22 Jul 2025 00:19:30.208761292,1170.22235929176
OBS_032 to HGV_00002,21 Jul 2025 23:59:59.989198000,22 Jul 2025 00:14:25.230434732,865.2412367321124
OBS_033 to HGV_00002,21 Jul 2025 23:59:59.982163000,22 Jul 2025 00:01:04.887177855,64.90501485513212
OBS_073 to HGV_00002,21 Jul 2025 23:59:59.983300000,22 Jul 2025 00:00:55.396118004,55.41281800419968
OBS_079 to HGV_00002,22 Jul 2025 00:27:37.677740666,22 Jul 2025 00:28:31.984660000,54.30691933378603
OBS_080 to HGV_00002,22 Jul 2025 00:18:13.711863359,22 Jul 2025 00:28:31.989036000,618.2771726408819
OBS_081 to HGV_00002,22 Jul 2025 00:12:40.253841461,22 Jul 2025 00:27:57.136253215,916.8824117542529
OBS_082 to HGV_00002,22 Jul 2025 00:08:25.070379723,22 Jul 2025 00:17:24.474134789,539.4037550653688
OBS_083 to HGV_00002,22 Jul 2025 00:03:39.186987918,22 Jul 2025 00:09:48.429182554,369.24219463567783
OBS_084 to HGV_00002,21 Jul 2025 23:59:59.984840000,22 Jul 2025 00:04:37.080314070,277.0954740696065
OBS_088 to HGV_00002,22 Jul 2025 00:21:54.286253768,22 Jul 2025 00:28:31.990374000,397.7041202316325
OBS_089 to HGV_00002,22 Jul 2025 00:14:59.117105065,22 Jul 2025 00:28:31.992375000,812.875269934877
OBS_090 to HGV_00002,22 Jul 2025 00:08:45.288405455,22 Jul 2025 00:27:13.341767018,1108.0533615628192
OBS_091 to HGV_00002,22 Jul 2025 00:03:16.462615467,22 Jul 2025 00:18:32.316536249,915.8539207811509
OBS_092 to HGV_00002,21 Jul 2025 23:59:59.988374000,22 Jul 2025 00:11:48.087609331,708.0992353309183
OBS_093 to HGV_00002,21 Jul 2025 23:59:59.994772000,22 Jul 2025 00:06:37.669481484,397.67470948425927
OBS_094 to HGV_00002,21 Jul 2025 23:59:59.985400000,22 Jul 2025 00:01:32.612326731,92.62692673060221
OBS_097 to HGV_00002,22 Jul 2025 00:18:11.619193016,22 Jul 2025 00:28:31.995325000,620.3761319842565
OBS_098 to HGV_00002,22 Jul 2025 00:11:44.135473392,22 Jul 2025 00:28:31.988443000,1007.8529696084131
OBS_099 to HGV_00002,22 Jul 2025 00:04:55.712644557,22 Jul 2025 00:23:10.879745369,1095.1671008117714
OBS_100 to HGV_00002,21 Jul 2025 23:59:59.983875000,22 Jul 2025 00:16:16.991347532,977.0074725320068
OBS_101 to HGV_00002,21 Jul 2025 23:59:59.991982000,22 Jul 2025 00:10:10.680599617,610.6886176171844
OBS_102 to HGV_00002,21 Jul 2025 23:59:59.987659000,22 Jul 2025 00:03:11.784729768,191.79707076762222
OBS_108 to HGV_00002,22 Jul 2025 00:26:43.836178798,22 Jul 2025 00:28:31.985810000,108.14963120177845
OBS_109 to HGV_00002,21 Jul 2025 23:59:59.987736000,22 Jul 2025 00:12:46.588721966,766.6009859659295
OBS_110 to HGV_00002,21 Jul 2025 23:59:59.984682000,22 Jul 2025 00:04:39.740186707,279.7555047069435
OBS_117 to HGV_00002,22 Jul 2025 00:21:41.985069625,22 Jul 2025 00:28:31.991887000,410.00681737451396
OBS_118 to HGV_00002,22 Jul 2025 00:14:38.761079807,22 Jul 2025 00:28:31.992935000,833.231855192639
OBS_119 to HGV_00002,22 Jul 2025 00:07:33.668716349,22 Jul 2025 00:27:02.200961190,1168.5322448401857
OBS_120 to HGV_00002,21 Jul 2025 23:59:59.981921000,22 Jul 2025 00:19:27.475007464,1167.4930864637
