# Satellite Name: OBS_020
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:29:02.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 31
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,5060.098088893262,-433.216210470095,-5758.603896478182,3.9893504814956082,5.124935622202653,3.1199054286708705
22 Jul 2025 00:00:30.000000000,5291.314286359308,-125.1960252819235,-5562.383200480932,3.7158199429767707,5.139691367046037,3.4190564608776866
22 Jul 2025 00:01:30.000000000,5505.760929115473,183.2209387276384,-5348.533861705119,3.430513002170441,5.138158089727623,3.70737161162555
22 Jul 2025 00:02:30.000000000,5702.758379835338,491.0572278069584,-5117.733624467512,3.1343338711384208,5.1203406496252954,3.9839371350223525
22 Jul 2025 00:03:30.000000000,5881.6823022296,797.3372284861546,-4870.7139549021085,2.8282212187770974,5.086295514852644,4.247876522808753
22 Jul 2025 00:04:30.000000000,6041.965639732898,1101.0902595795878,-4608.257722753257,2.513145195901728,5.036130583319321,4.498353282241488
22 Jul 2025 00:05:30.000000000,6183.100412654233,1401.3536485258307,-4331.196720257276,2.190104360587076,4.970004840773684,4.734573587156979
22 Jul 2025 00:06:30.000000000,6304.639328096598,1697.1757823509558,-4040.4090259759737,1.8601225134740518,4.888127856936724,4.955788793813458
22 Jul 2025 00:07:30.000000000,6406.197197545144,1987.6191235758051,-3736.816221936726,1.5242454530805056,4.790759121319948,5.16129781353818
22 Jul 2025 00:08:30.000000000,6487.452157629832,2271.7631815179157,-3421.3804728987175,1.1835376613920836,4.678207220835905,5.350449334660243
22 Jul 2025 00:09:30.000000000,6548.146690194792,2548.7074295651205,-3095.1014770019356,0.8390789302422518,4.550828861805489,5.522643886687116
22 Jul 2025 00:10:30.000000000,6588.088438439699,2817.574159181623,-2759.013297463089,0.4919609391686739,4.409027739463057,5.677335740182929
22 Jul 2025 00:11:30.000000000,6607.150816549542,3077.5112615926396,-2414.1810853596344,0.1432837955979408,4.25325325854053,5.814034636327366
22 Jul 2025 00:12:30.000000000,6605.273410877365,3327.694928341143,-2061.6977038882733,-0.20584745168302254,4.083999108986845,5.932307340673708
22 Jul 2025 00:13:30.000000000,6582.462171411417,3567.3322621504117,-1702.6802647965078,-0.5543263147138613,3.9018017013357102,6.0317790161817415
22 Jul 2025 00:14:30.000000000,6538.7893929176425,3795.663789823243,-1338.266587964224,-0.9010483731102916,3.7072384666807547,6.112134411174112
22 Jul 2025 00:15:30.000000000,6474.393485818955,4011.9658692099665,-969.6115953558016,-1.2449147742599183,3.5009260266458244,6.173118858451063
22 Jul 2025 00:16:30.000000000,6389.478537536283,4215.552982619554,-597.8836507712575,-1.5848357158729312,3.2835182391502036,6.214539082397209
22 Jul 2025 00:17:30.000000000,6284.313665683065,4405.779909402782,-224.26085699670304,-1.9197338998491416,3.0557041261626385,6.23626381152237
22 Jul 2025 00:18:30.000000000,6159.232165160228,4582.043770826445,150.07267791057524,-2.2485479465174807,2.8182056900106702,6.238224194495127
22 Jul 2025 00:19:30.000000000,6014.630451858497,4743.785940752085,523.9305933693105,-2.57023575842431,2.571775625167237,6.220414018350672
22 Jul 2025 00:20:30.000000000,5850.966806312768,4890.493816068339,896.1280361602924,-2.8837778230122013,2.317194932765502,6.1828897281812925
22 Jul 2025 00:21:30.000000000,5668.759921292014,5021.702441263334,1265.4854155351707,-3.1881804437208725,2.055270445402846,6.125770248247173
22 Jul 2025 00:22:30.000000000,5468.587257925921,5136.99598199083,1630.8321416471144,-3.482478889271032,1.786832270077571,6.049236605074387
22 Jul 2025 00:23:30.000000000,5251.083215580835,5236.009042956714,1991.0103354552855,-3.7657404511490107,1.5127311573638733,5.953531353734645
22 Jul 2025 00:24:30.000000000,5016.937121282003,5318.427825952791,2344.8784983454334,-4.037067399603528,1.2338358051609655,5.838957809125022
22 Jul 2025 00:25:30.000000000,4766.891045056774,5383.99112436479,2691.3151298366565,-4.295599828785234,0.951030105563074,5.7058790846839536
22 Jul 2025 00:26:30.000000000,4501.737448121592,5432.491151003891,3029.2222819088565,-4.54051838201251,0.6652103435752701,5.554716941590077
22 Jul 2025 00:27:30.000000000,4222.316671365021,5463.77419663918,3357.5290386863235,-4.771046848526591,0.3772823565519736,5.385950452091065
22 Jul 2025 00:28:30.000000000,3929.5142720888207,5477.741117141839,3675.194910449371,-4.986454623505756,0.088158663362567,5.200114481198762
22 Jul 2025 00:29:02.000000000,3768.2001823003116,5478.092270398089,3839.9166988211623,-5.09491837467286,-0.06621323408941959,5.094223674205241
