t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2653578.5972148203,4842682.21462618,3391797.1575591047,-1804.5681058317423,-1942.0011551491916,4161.86890416313
1.0,2651774.0291089886,4840740.213471031,3395959.026463268,-1806.541754431324,-1945.2127308896743,4159.522879999364
2.0,2649965.5137059577,4838791.789164401,3400116.2033191035,-1810.4882305753417,-1951.6346612991765,4154.828099544626
3.0,2648153.052647838,4836836.944148432,3404268.682662357,-1814.4330664284062,-1958.0541532924399,4150.127851484343
4.0,2646336.647573101,4834875.680857816,3408416.459022072,-1818.3762656212784,-1964.4712143163197,4145.422129098559
5.0,2644516.3001165953,4832908.0017198,3412559.526920554,-1822.3178317679558,-1970.885851798579,4140.710925628664
6.0,2642692.011909565,4830933.909154219,3416697.8808733295,-1826.2577684677672,-1977.2980731497519,4135.994234281126
7.0,2640863.78457966,4828953.4055735,3420831.5153891165,-1830.1960793067701,-1983.7078857645392,4131.272048225859
8.0,2639031.6197509514,4826966.49338269,3424960.424969781,-1834.1327678542584,-1990.115297017619,4126.544360595057
9.0,2637195.5190439513,4824973.174979465,3429084.6041103066,-1838.0678376646247,-1996.5203142659739,4121.8111644855235
10.0,2635355.484075622,4822973.452754158,3433204.0472987522,-1842.0012922775932,-2002.9229448498227,4117.072452957043
11.0,2633511.516459396,4820967.329089765,3437318.7490162207,-1845.9331352158915,-2009.3231960907578,4112.328219032846
12.0,2631663.6178051904,4818954.806361976,3441428.703736818,-1849.8633699892089,-2015.7210752940737,4107.578455699375
13.0,2629811.7897194177,4816935.886939177,3445533.9059276194,-1853.7920000893064,-2022.1165897455066,4102.823155907681
14.0,2627956.033805012,4814910.573182485,3449634.3500486333,-1857.7190289928112,-2028.5097467135638,4098.062312570633
15.0,2626096.351661432,4812878.86744575,3453730.0305527607,-1861.6444601626135,-2034.9005534495227,4093.295918565709
16.0,2624232.7448846865,4810840.772075586,3457820.9418857647,-1865.5682970439084,-2041.2890171865001,4088.5239667329006
17.0,2622365.2150673443,4808796.289411377,3461907.0784862265,-1869.4905430672225,-2047.675145138055,4083.746449876111
18.0,2620493.763798552,4806745.42178531,3465988.434785517,-1873.4112016460858,-2054.058944501914,4078.9633607640862
19.0,2618618.392664052,4804688.171522373,3470065.0052077547,-1877.330276179593,-2060.440422460437,4074.174692125991
20.0,2616739.103246193,4802624.540940389,3474136.784169769,-1881.2477700493764,-2066.819586171303,4069.3804366558325
21.0,2614855.8971239533,4800554.532350031,3478203.7660810663,-1885.1636866214685,-2073.1964427796192,4064.5805870122276
22.0,2612968.77587295,4798478.14805483,3482265.9453437934,-1889.0780292460695,-2079.5709994100034,4059.775135815842
23.0,2611077.741065461,4796395.390351211,3486323.316352698,-1892.9908012554515,-2085.9432631703094,4054.964075650554
24.0,2609182.794270439,4794306.261528489,3490375.8734950945,-1896.9020059672184,-2092.31324115023,4050.1473990653176
25.0,2607283.9370535268,4792210.76386891,3494423.6111508287,-1900.8116466817446,-2098.6809404208325,4045.3250985711347
26.0,2605381.1709770756,4790108.8996476475,3498466.5236922367,-1904.7197266810108,-2105.046368035488,4040.4971666422207
27.0,2603474.4976001647,4788000.671132839,3502504.605484113,-1908.626249231631,-2111.4095310275443,4035.6635957185645
28.0,2601563.9184786123,4785886.080585592,3506537.850883674,-1912.5312175841536,-2117.770436414052,4030.8243782012723
29.0,2599649.4351649964,4783765.130260011,3510566.2542405156,-1916.4346349695697,-2124.129091193434,4025.979506455362
30.0,2597731.049208673,4781637.822403206,3514589.8098965846,-1920.3365046016406,-2130.4855023454875,4021.128972810926
31.0,2595808.762155793,4779504.15925532,3518608.5121861375,-1924.236829677131,-2136.8396768295206,4016.272769561503
32.0,2593882.575549319,4777364.1430495465,3522622.3554357076,-1928.1356133748777,-2143.191621588543,4011.4108889629133
33.0,2591952.4909290434,4775217.776012143,3526631.3339640633,-1932.032858855091,-2149.541343546007,4006.5433232351206
34.0,2590018.5098316087,4773065.0603624545,3530635.442082178,-1935.928569260519,-2155.888849607669,4001.67006456363
35.0,2588080.6337905223,4770905.998312928,3534634.6740931906,-1939.8227477129549,-2162.2341466578655,3996.791105096694
36.0,2586138.864336183,4768740.592069139,3538629.0242923712,-1943.715397316264,-2168.57724156091,3991.906436946476
37.0,2584193.20299589,4766568.843829806,3542618.4869670835,-1947.6065211563837,-2174.9181411657482,3987.016052189283
38.0,2582243.65129387,4764390.755786807,3546603.05639675,-1951.496122297598,-2181.256852300372,3982.119942866266
39.0,2580290.2107512946,4762206.330125205,3550582.726852816,-1955.384203783935,-2187.593381771352,3977.218100983184
40.0,2578332.882886302,4760015.569023265,3554557.492598716,-1959.270768639166,-2193.9277363652363,3972.3105185094755
41.0,2576371.6692140163,4757818.474652475,3558527.347889835,-1963.1558198665734,-2200.2599228490144,3967.3971873798873
42.0,2574406.571246569,4755615.049177567,3562492.286973476,-1967.0393604470883,-2206.589947970584,3962.4780994935427
43.0,2572437.590493122,4753405.294756534,3566452.304088822,-1970.9213933388237,-2212.917818455957,3957.553246715339
44.0,2570464.7284598914,4751189.213540655,3570407.3934669066,-1974.8019214787055,-2219.2435410092585,3952.622620875016
45.0,2568487.9866501647,4748966.807674515,3574357.549330572,-1978.680947779445,-2225.5671223141253,3947.6862137680873
46.0,2566507.3665643325,4746738.079296026,3578302.765894443,-1982.5584751290735,-2231.8885690313764,3942.744017155608
47.0,2564522.8696999066,4744503.030536452,3582243.0373648833,-1986.434506391408,-2238.2078878004104,3937.7960227655713
48.0,2562534.4975515497,4742261.663520426,3586178.357939974,-1990.3090444032568,-2244.525085239671,3932.842222292442
49.0,2560542.2516111,4740013.980365973,3590108.721809468,-1994.1820919748861,-2250.84016794106,3927.882607395528
50.0,2558546.1333676,4737759.983184543,3594034.123154765,-1998.0536518897861,-2257.1531424722634,3922.917169703869
51.0,2556546.1443073205,4735499.674081028,3597954.556148876,-2001.9237269025762,-2263.4640153804794,3917.945900812978
52.0,2554542.2859137948,4733233.0551537825,3601870.014956391,-2005.7923197362106,-2269.7727931868285,3912.9687922878657
53.0,2552534.559667848,4730960.128494655,3605780.4937334517,-2009.6594330822118,-2276.079482384026,3907.985835661646
54.0,2550522.9670476303,4728680.896189014,3609685.9866277142,-2013.5250696006697,-2282.384089439176,3902.9970224357676
55.0,2548507.5095286467,4726395.360315776,3613586.4877783232,-2017.3892319158185,-2288.6866207942367,3898.002344083274
56.0,2546488.1885837987,4724103.522947426,3617481.991315881,-2021.2519226151053,-2294.9870828604326,3893.0017920476384
57.0,2544465.0056834165,4721805.386150056,3621372.4913624185,-2025.1131442482583,-2301.285482019186,3887.99535774393
58.0,2542437.962295302,4719500.951983388,3625257.9820313687,-2028.9728993247263,-2307.5818246244453,3882.98303256114
59.0,2540407.059884767,4717190.222500807,3629138.457427541,-2032.83119031135,-2313.876116995234,3877.964807860786
60.0,2538372.2999146795,4714873.199749397,3633013.91164709,-2036.688019627938,-2320.1683654170483,3872.940674979007
61.0,2536333.683845511,4712549.885769973,3636884.338777499,-2040.543389646802,-2326.4585761409253,3867.9106252300553
62.0,2534291.213135386,4710220.282597115,3640749.7328975503,-2044.3973026894964,-2332.746755383443,3862.87464990397
63.0,2532244.889240132,4707884.392259206,3644610.0880773067,-2048.24976102286,-2339.032909321133,3857.832740270067
64.0,2530194.71361334,4705542.216778473,3648465.3983780905,-2052.100766852265,-2345.3170440876856,3852.784887579968
