# Satellite Name: Multiple
# Target Name: HGV_00008
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:26:16.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 1676
# ---------------------------------------------
Strand Name,Time (UTCG),Azimuth (deg),Elevation (deg),Range (km)
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:09:02.761806687,352.3074226592882,-34.02211826735038,4997.595163603391
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:10:02.000000000,348.2103993465832,-33.371226546138395,4563.502136593504
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:11:02.000000000,343.3129298234624,-33.233664816579434,4134.6815729566615
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:12:02.000000000,337.3062118782242,-33.776783608282635,3732.7827752743233
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:13:02.000000000,330.7673851408304,-34.581522069244926,3310.176322725845
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:14:02.000000000,323.0228350653239,-36.09511916000571,2901.0970119732606
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:15:02.000000000,312.70611796077026,-38.688201018553215,2553.3729291128284
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:16:02.000000000,300.48845593424363,-41.767501691253216,2248.9203003739713
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:17:02.000000000,285.1296942800791,-45.07971565310946,2030.961896790613
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:18:02.000000000,266.99958075823474,-47.47460994684893,1920.8505385047272
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:19:02.000000000,249.86443924457717,-47.82074532843407,1903.033871833275
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:20:02.000000000,235.68080412839626,-46.50893979267346,1973.5700050254004
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:21:02.000000000,225.77701419305174,-44.09814018343518,2119.482555582894
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:22:02.000000000,219.05961306312602,-41.165442539518,2345.518104144442
Satellite/OBS_001 to Missile/HGV_00008,22 Jul 2025 00:22:51.991374000,214.3856950831851,-38.94868950487581,2585.8026916509725
Satellite/OBS_002 to Missile/HGV_00008,21 Jul 2025 23:59:59.990670000,80.1732696369822,-34.96908236936492,2797.1852857452104
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:00:59.000000000,83.85510555022928,-37.27735401702291,2470.093149365801
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:01:59.000000000,89.38568592581271,-40.93407702616341,2165.7028020493008
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:02:59.000000000,97.83096073764459,-46.1081839813125,1908.0575553033907
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:03:59.000000000,111.50067465235405,-52.301000684848866,1720.8586933084173
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:04:59.000000000,137.23452227225724,-53.55653716358661,1654.369726574054
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:05:59.000000000,161.50240023500373,-49.3893717491821,1764.8863089992767
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:06:59.000000000,177.63252452477911,-44.018234454876506,2017.445117130538
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:07:59.000000000,187.7681740876568,-39.91521535541495,2362.155589626862
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:08:59.000000000,194.06778085552537,-37.04447461915567,2775.607502353258
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:09:59.000000000,196.52096180288777,-34.460461869207506,3274.4998467276737
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:10:59.000000000,198.0753746059339,-33.42219210272513,3794.0490882279178
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:11:59.000000000,199.24316140261115,-33.46744278314864,4319.194668132734
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:12:59.000000000,199.1833221567606,-33.80244821546211,4857.542818859351
Satellite/OBS_002 to Missile/HGV_00008,22 Jul 2025 00:13:27.708159301,198.83075553907244,-34.06372186294941,5113.767768616445
Satellite/OBS_010 to Missile/HGV_00008,21 Jul 2025 23:59:59.984879000,352.53727757913526,-32.44283883953935,4533.457398201253
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:00:59.000000000,349.48629298052026,-32.490993264115986,4496.312370204399
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:01:59.000000000,346.3880335466908,-32.69768812874389,4471.123923102877
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:02:59.000000000,343.3186698162099,-33.06477988333019,4460.351545749092
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:03:59.000000000,340.2220587132662,-33.538725729000994,4461.750542034131
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:04:59.000000000,335.78159110945904,-33.26038760833478,4392.573710229467
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:05:59.000000000,330.95851512026087,-32.99118892053657,4320.688363727948
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:06:59.000000000,326.088396854883,-32.97850664527363,4276.956032500248
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:07:59.000000000,321.24260386860624,-33.22429166064027,4263.768459825548
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:08:59.000000000,316.16610756204625,-33.51566952711398,4264.772034132026
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:09:59.000000000,309.96580480562216,-33.257730173771414,4216.145028253755
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:10:59.000000000,303.6374529549122,-33.221806500989366,4202.189720056845
Satellite/OBS_010 to Missile/HGV_00008,22 Jul 2025 00:11:59.000000000,297.3611936124627,-33.459812605036184,4232.447751711624
