# Satellite Name: Multiple
# Target Name: HGV_00009
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:26:16.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 0
# Number of Records: 141
# ---------------------------------------------
Strand Name,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
OBS_001 to HGV_00009,22 Jul 2025 00:11:23.391796447,22 Jul 2025 00:17:25.989361000,362.5975645529501
OBS_002 to HGV_00009,21 Jul 2025 23:59:59.990612000,22 Jul 2025 00:17:25.984846000,1045.994234
OBS_010 to HGV_00009,21 Jul 2025 23:59:59.984854000,22 Jul 2025 00:17:25.992211000,1046.007357
OBS_011 to HGV_00009,21 Jul 2025 23:59:59.989283000,22 Jul 2025 00:11:17.065453708,677.0761707077023
OBS_013 to HGV_00009,21 Jul 2025 23:59:59.982466000,22 Jul 2025 00:01:25.003932548,85.02146654808479
OBS_013 to HGV_00009,22 Jul 2025 00:07:31.535401048,22 Jul 2025 00:17:25.985520000,594.4501189519792
OBS_031 to HGV_00009,21 Jul 2025 23:59:59.983882000,22 Jul 2025 00:01:00.046712175,60.06283017534534
OBS_036 to HGV_00009,21 Jul 2025 23:59:59.982192000,22 Jul 2025 00:09:08.940842354,548.9586503539088
OBS_038 to HGV_00009,22 Jul 2025 00:07:28.690469929,22 Jul 2025 00:17:25.991362000,597.3008920705447
OBS_039 to HGV_00009,21 Jul 2025 23:59:59.992464000,22 Jul 2025 00:11:38.009771465,698.0173074646592
OBS_047 to HGV_00009,22 Jul 2025 00:01:21.021243082,22 Jul 2025 00:17:25.992228000,964.9709849182684
OBS_048 to HGV_00009,21 Jul 2025 23:59:59.987710000,22 Jul 2025 00:06:28.972294281,388.98458428084655
