# Satellite Name: OBS_006
# Start Time (UTCG): 21 Jul 2025 23:59:30.000
# Stop Time  (UTCG): 22 Jul 2025 00:26:16.000
# Orbit Altitude (km): 1300.000
# Inclination (deg): 60.000
# Orbit Geometry: delta
# Step Size (s): 60
# Number of Records: 28
# ---------------------------------------------
Time (UTCG),x (km),y (km),z (km),vx (km/s),vy (km/s),vz (km/s)
21 Jul 2025 23:59:30.000000000,3839.0671699528093,-3324.731147677928,-5758.603463602937,6.239813955767886,1.8012790889426318,3.119905082037469
22 Jul 2025 00:00:30.000000000,4207.174727984796,-3211.443025611441,-5562.382789077599,6.027196314861552,1.9739939974825451,3.4190560919357713
22 Jul 2025 00:01:30.000000000,4561.94865224553,-3087.9770032199267,-5348.533473077371,5.795476917224912,2.140452804282093,3.707371221544324
22 Jul 2025 00:02:30.000000000,4902.264571678728,-2954.724376501059,-5117.733259846883,5.54539014204086,2.3001279580124985,3.9839367250379616
22 Jul 2025 00:03:30.000000000,5227.043936396737,-2812.1074577752097,-4870.713615444062,5.277728579511246,2.452513406475449,4.247876094220415
22 Jul 2025 00:04:30.000000000,5535.257435905255,-2660.578237245449,-4608.257409533514,4.993340518921516,2.597126200449882,4.498352836407376
22 Jul 2025 00:05:30.000000000,5825.9282612558545,-2500.616950524401,-4331.196434268407,4.693127260191535,2.7335080242824614,4.734573125489918
22 Jul 2025 00:06:30.000000000,6098.135200809594,-2332.730556639698,-4040.40876812426,4.378040257419907,2.861226648411841,4.955788317776444
22 Jul 2025 00:07:30.000000000,6351.015559795772,-2157.4511313507983,-3736.815993039283,4.049078103478811,2.9798772992148344,5.161297324639749
22 Jul 2025 00:08:30.000000000,6583.76789441716,-1975.334180861051,-3421.3802736809066,3.707283365212323,3.0890839418405034,5.350448834449686
22 Jul 2025 00:09:30.000000000,6795.654551833905,-1786.9568812750847,-3095.1013080950634,3.3537392792708607,3.1885004719618175,5.522643376749573
22 Jul 2025 00:10:30.000000000,6986.00400797846,-1592.9162493747763,-2759.013159402411,2.989566319050639,3.2778118126719007,5.6773352221343645
22 Jul 2025 00:11:30.000000000,7154.212995789717,-1393.8272505200264,-2414.1809785826536,2.615918643622547,3.356734913043477,5.8140341118094465
22 Jul 2025 00:12:30.000000000,7299.748417124112,-1190.3208496612488,-2061.6976287333578,2.2339804399001855,3.4250196451920205,5.9323068113485995
22 Jul 2025 00:13:30.000000000,7422.149032282362,-983.0420116482834,-1702.680221501817,1.8449621696433995,3.4824495969956875,6.031778483726848
22 Jul 2025 00:14:30.000000000,7521.026921798555,-772.6476571675228,-1338.2665766669545,1.4500967331888273,3.528842757962138,6.1121338772767535
22 Jul 2025 00:15:30.000000000,7596.068715857958,-559.8045807895865,-969.6116160917511,1.0506355620675316,3.564052096067025,6.173118324803128
22 Jul 2025 00:16:30.000000000,7647.036587447721,-345.1873377229625,-597.8837034747131,0.647844652891934,3.587966023736918,6.2145385506898005
22 Jul 2025 00:17:30.000000000,7673.7690060926425,-129.47610597402465,-224.26094150064787,0.24300055508307405,3.6005087514992806,6.236263283440437
22 Jul 2025 00:18:30.000000000,7676.181249787455,86.64546931649032,150.07256187393193,-0.16261367484833508,3.601640528179291,6.238223671712133
22 Jul 2025 00:19:30.000000000,7654.265673502896,302.4924425218071,523.9304461676843,-0.5677125396419014,3.59135776688152,6.220413502523283
22 Jul 2025 00:20:30.000000000,7608.091733414774,517.3807383009296,896.1278582601594,-0.9710121753638176,3.5696930563577647,6.18288922094414
22 Jul 2025 00:21:30.000000000,7537.805766779317,730.6293196111209,1265.4852075002884,-1.37123442030614,3.5367150577248623,6.125769751207662
22 Jul 2025 00:22:30.000000000,7443.6305281521445,941.5623460929951,1630.8319041367367,-1.7671108658150376,3.4925282868595784,6.049236119807607
22 Jul 2025 00:23:30.000000000,7325.864483421124,1149.5113159835782,1991.0100692220713,-2.1573868762079864,3.437272783160741,5.953530881778379
22 Jul 2025 00:24:30.000000000,7184.880863890012,1353.8171847737979,2344.8782042330636,-2.540825565041889,3.3711236657276493,5.838957351974871
22 Jul 2025 00:25:30.000000000,7021.126483411181,1553.832453891959,2691.3148087771583,-2.9162117151285543,3.294290578362046,5.705878643788603
22 Jul 2025 00:26:16.000000000,6880.482136590651,1703.8753511020657,2951.196731282545,-3.197810347318272,3.228300656834623,5.591580825799284
