t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2658881.8182808333,4724858.654458402,3548671.799368149,-1129.9566383999772,-1802.250751864165,3228.877082230989
1.0,2657751.8616424333,4723056.403706538,3551900.67645038,-1131.9386395779438,-1805.4574093678966,3226.4042411686387
2.0,2656617.9410016774,4721247.739639666,3555124.6078504864,-1135.9021541196853,-1811.8696692129597,3221.456559515558
3.0,2655480.057334194,4719432.664368112,3558343.5895694112,-1139.8646963818464,-1818.2798246098682,3216.504873674363
4.0,2654338.2116089137,4717611.179990446,3561557.617597835,-1143.8262730557472,-1824.6878873002715,3211.549173365347
5.0,2653192.4047880825,4715783.288593511,3564766.687916142,-1147.7868908206,-1831.0938690006733,3206.5894482724834
6.0,2652042.6378272725,4713948.992252445,3567970.79649438,-1151.746556344675,-1837.4977814080194,3201.625688040396
7.0,2650888.911675393,4712108.293030695,3571169.9392922227,-1155.7052762836684,-1843.8996361987665,3196.6578822766896
8.0,2649731.227274705,4710261.192980047,3574364.1122589335,-1159.6630572795402,-1850.2994450237602,3191.686020551715
9.0,2648569.585560834,4708407.694140648,3577553.311333326,-1163.6199059633072,-1856.6972195147537,3186.7100923974067
10.0,2647403.9874627786,4706547.798541018,3580737.5324437283,-1167.575828955043,-1863.0929712839425,3181.730087307049
11.0,2646234.433902924,4704681.50819808,3583916.7715079403,-1171.530832861783,-1869.4867119211704,3176.7459947366733
12.0,2645060.925797055,4702808.8251171755,3587091.0244332016,-1175.4849242770579,-1875.878452992998,3171.75780410436
13.0,2643883.46405437,4700929.751292094,3590260.287116149,-1179.4381097848527,-1882.2682060454972,3166.7655047883745
14.0,2642702.0495774853,4699044.2887050845,3593424.5554427784,-1183.3903959565796,-1888.6559826051816,3161.769086130429
15.0,2641516.6832624567,4697152.439326883,3596583.82528841,-1187.341789350845,-1895.0417941748165,3156.768537433818
16.0,2640327.3659987836,4695254.205116735,3599738.092517646,-1191.2922965143807,-1901.4256522385404,3151.7638479627203
17.0,2639134.098669428,4693349.588022406,3602887.3529843353,-1195.2419239813462,-1907.807568257209,3146.755006943131
18.0,2637936.882150821,4691438.58998022,3606031.6025315323,-1199.1906782754231,-1914.1875536697917,3141.74200356286
19.0,2636735.717312877,4689521.212915067,3609170.836991461,-1203.138565907022,-1920.5656198966317,3136.7248269717675
20.0,2635530.605019007,4687597.458740427,3612305.052185476,-1207.0855933746789,-1926.941778334789,3131.703466279898
21.0,2634321.5461261277,4685667.329358397,3615434.243924021,-1211.0317671645898,-1933.3160403603688,3126.6779105584137
22.0,2633108.5414846777,4683730.826659706,3618558.4080065927,-1214.9770937508438,-1939.6884173271246,3121.648148841923
23.0,2631891.591938626,4681787.952523743,3621677.5402217046,-1218.9215795956552,-1946.0589205701835,3116.6141701261513
24.0,2630670.6983254864,4679838.708818566,3624791.636346845,-1222.8652311493643,-1952.4275614004582,3111.575963366078
25.0,2629445.8614763273,4677883.097400942,3627900.692148437,-1226.808054848807,-1958.7943511069752,3106.533517479431
26.0,2628217.082215789,4675921.120116352,3631004.703381804,-1230.7500571177807,-1965.1593009587377,3101.486821345752
27.0,2626984.3613620917,4673952.778799024,3634103.6657911283,-1234.6912443700712,-1971.5224222023971,3096.4358638050035
