t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,2682678.52422776,4818021.3009683,3388061.013737521,-1534.9697329639457,-1407.5854891845956,3197.086630179081
1.0,2681143.554494796,4816613.715479115,3391258.1003677,-1536.96162942308,-1410.865863126237,3194.6969489208423
2.0,2679604.6009689136,4815199.569242047,3394450.407635363,-1540.9447351719718,-1417.4257505359128,3189.9155840028543
3.0,2678061.665024452,4813778.863978043,3397637.931535706,-1544.9264699674677,-1423.9839231758378,3185.130209249677
4.0,2676514.7480289787,4812351.6013956955,3400820.668053862,-1548.9068405732978,-1430.540393397212,3180.3408145785797
5.0,2674963.8513433053,4810917.783191249,3403998.613164863,-1552.885853733169,-1437.0951735316776,3175.547389870044
6.0,2673408.9763215124,4809477.411048632,3407171.7628336023,-1556.8635161728598,-1443.648275892716,3170.7499249656685
7.0,2671850.1243109596,4808030.486639463,3410340.1130147944,-1560.8398346013855,-1450.1997127770446,3165.9484096702654
8.0,2670287.2966523096,4806577.011623078,3413503.659652943,-1564.814815710066,-1456.749496459961,3161.142833752092
9.0,2668720.4946795395,4805116.987646543,3416662.3986822986,-1568.788466173457,-1463.2976391995326,3156.33318694029
10.0,2667149.7197199627,4803650.416344679,3419816.3260268234,-1572.7607926460914,-1469.8441532347351,3151.5194589255843
11.0,2665574.9730942473,4802177.299340074,3422965.43760015,-1576.7318017659709,-1476.3890507877804,3146.701639362378
12.0,2663996.2561164307,4800697.638243103,3426109.729305548,-1580.7015001524705,-1482.9323440599255,3141.879717867356
13.0,2662413.5700939423,4799211.434651954,3429249.1970358845,-1584.6698944054078,-1489.474045231007,3137.053684018785
14.0,2660826.91632762,4797718.690152641,3432383.8366735857,-1588.6369911090005,-1496.0141664640978,3132.2235273590777
15.0,2659236.2961117243,4796219.406319026,3435513.6440906026,-1592.6027968269773,-1502.5527199013159,3127.389237391064
16.0,2657641.710733966,4794713.584712839,3438638.615148368,-1596.5673181030434,-1509.0897176656872,3122.550803582417
17.0,2656043.1614755183,4793201.2268836945,3441758.7456977675,-1600.5305614639074,-1515.6251718588173,3117.7082153619267
18.0,2654440.649611038,4791682.334369121,3444874.0315790917,-1604.4925334176514,-1522.159094561357,3112.861462120898
19.0,2652834.176408683,4790156.908694572,3447984.4686220093,-1608.4532404502388,-1528.6914978325367,3108.0105332152452
20.0,2651223.7431301377,4788624.951373456,3451090.052645522,-1612.4126890287735,-1535.2223937115632,3103.155417963164
21.0,2649609.3510306254,4787086.463907149,3454190.7794579356,-1616.3708856024314,-1541.7517942157574,3098.296105645364
22.0,2647991.001358933,4785541.4477850245,3457286.644856813,-1620.3278365980368,-1548.2797113382258,3093.432585506467
23.0,2646368.6953574293,4783989.904484472,3460377.6446289485,-1624.2835484214593,-1554.806157049723,3088.5648467559367
24.0,2644742.43426209,4782431.835470925,3463463.774550325,-1628.2380274592433,-1561.3311432977207,3083.692878564587
25.0,2643112.219302511,4780867.242197877,3466545.0303860777,-1632.191280075349,-1567.8546820068732,3078.8166700704023
26.0,2641478.051701939,4779296.126106911,3469621.4078904656,-1636.143312610453,-1574.376785073895,3073.936210374348
27.0,2639839.93267729,4777718.488627729,3472692.9028068264,-1640.094131386606,-1580.897464371752,3069.0514885401353
28.0,2638197.863439166,4776134.331178168,3475759.510867546,-1644.0437426997814,-1587.4167317464016,3064.16249360051
29.0,2636551.8451918904,4774543.655164236,3478821.2277940274,-1647.9921528226696,-1593.9345990163274,3059.2692145523615
30.0,2634901.8791335206,4772946.461980135,3481878.0492966506,-1651.9393680056091,-1600.4510779711418,3054.3716403576545
31.0,2633247.966455879,4771342.753008294,3484929.9710747427,-1655.8853944719303,-1606.966180369258,3049.4697599462233
32.0,2631590.108344577,4769732.529619397,3487976.988816543,-1659.8302384200506,-1613.479917940218,3044.5635622143745
33.0,2629928.305979039,4768115.7931724135,3491019.0981991715,-1663.7739060218446,-1619.9923023805022,3039.653036027681
34.0,2628262.560532533,4766492.545014636,3494056.2948885984,-1667.7164034226444,-1626.503345350735,3034.7381702191196
35.0,2626592.8731721938,4764862.786481712,3497088.5745396097,-1671.657736737514,-1633.0130584752187,3029.8189535920974
36.0,2624919.245059058,4763226.518897685,3500115.9327957826,-1675.5979120507836,-1639.5214533424005,3024.8953749213833
37.0,2623241.677348092,4761583.743575027,3503138.3652894525,-1679.5369354181457,-1646.0285415002145,3019.967422951944
38.0,2621560.171188222,4759934.461814685,3506155.8676416865,-1683.4748128619976,-1652.5343344514258,3015.0350864024367
39.0,2619874.727722368,4758278.674906124,3509168.4354622574,-1687.4115503693465,-1659.0388436550274,3010.098353966372
40.0,2618185.348087483,4756616.384127375,3512176.064349619,-1691.347153892275,-1665.5420805229805,3005.15721431165
41.0,2616492.0334145837,4754947.590745078,3515178.7498908807,-1695.2816293444484,-1672.0440564146265,3000.2116560852155
42.0,2614794.784828794,4753272.2960145455,3518176.4876617896,-1699.2149825987872,-1678.5447826334275,2995.261667913059
43.0,2613093.603449386,4751590.501179812,3521169.273226707,-1703.1472194867674,-1685.0442704227753,2990.3072384013794
44.0,2611388.4903898207,4749902.2074737,3524157.1021385924,-1707.078345795162,-1691.5425309645943,2985.3483561424073
45.0,2609679.4467577958,4748207.416117882,3527139.9699389916,-1711.0083672606852,-1698.0395753714256,2980.3850097139366
46.0,2607966.4736552993,4746506.128322957,3530117.8721580203,-1714.9372895688284,-1704.535414680373,2975.417187682353
47.0,2606249.572178658,4744798.345288522,3533090.8043143563,-1718.8651183512993,-1711.030059846118,2970.444878608454
48.0,2604528.7434185967,4743084.068203265,3536058.761915237,-1722.7918591804337,-1717.5235217404552,2965.4680710490793
49.0,2602803.988460297,4741363.298245041,3539021.7404564545,-1726.717517564306,-1724.0158111383207,2960.4867535608355
50.0,2601075.308383468,4739636.036580988,3541979.735422359,-1730.6420989413746,-1730.5069387066178,2955.5009147068486
51.0,2599342.7042624145,4737902.284367627,3544932.742285868,-1734.5656086767558,-1736.9969150060788,2950.5105430609547
52.0,2597606.1771661146,4736162.042750976,3547880.7565084808,-1738.4880520545412,-1743.4857504679821,2945.515627213521
53.0,2595865.7281583054,4734415.3128666915,3550823.773540295,-1742.4094342717435,-1749.9734553899616,2940.5161557768006
54.0,2594121.358297571,4732662.095840196,3553761.7888200344,-1746.3297604289837,-1756.4600399201736,2935.5121173940133
55.0,2592373.0686374474,4730902.392786851,3556694.797775083,-1750.2490355225746,-1762.9455140396021,2930.5035007488914
56.0,2590620.860226526,4729136.204812117,3559622.795821532,-1754.1672644370701,-1769.4298875546083,2925.4902945712674
57.0,2588864.7341085733,4727363.533011742,3562545.7783642258,-1758.0844519287348,-1775.9131700675935,2920.4724876508117
58.0,2587104.6913226685,4725584.378471982,3565463.7407968338,-1762.0006026187912,-1782.3953709593043,2915.4500688479748
59.0,2585340.7329033357,4723798.742269823,3568376.6785019217,-1765.9157209773548,-1788.8764993706718,2910.4230271058623
60.0,2583572.8598807137,4722006.62547324,3571284.5868510455,-1769.8298113076016,-1795.356564169284,2905.391351469094
61.0,2581801.0732807205,4720208.029141485,3574187.46120486,-1773.7428777299356,-1801.8355739214458,2900.3550310975406
62.0,2580025.374125254,4718402.9543253975,3577085.2969132406,-1777.6549241601024,-1808.313536862377,2895.314055285882
63.0,2578245.7634324003,4716591.40206776,3579978.0893154317,-1781.5659542912617,-1814.790460854303,2890.2684134868905
64.0,2576462.2422166714,4714773.373403689,3582865.8337402144,-1785.4759715651162,-1821.2663533450104,2885.2180953356437
65.0,2574674.81148927,4712948.86936107,3585748.525506103,-1789.3849791458342,-1827.741221322678,2880.163090676535
66.0,2572883.4722583797,4711117.890961044,3588626.1599215674,-1793.292979890015,-1834.2150712586008,2875.1033895965666
67.0,2571088.22552949,4709280.439218553,3591498.732285296,-1797.1999763094354,-1840.6879090466537,2870.0389824602753
68.0,2569289.072305761,4707436.51514295,3594366.237886488,-1801.1059705319349,-1847.1597399348393,2864.9698599502444
69.0,2567486.013588426,4705586.119738683,3597228.6720051966,-1805.0109642564785,-1853.6305684489198,2859.8960131141357
70.0,2565679.050377248,4703729.254006052,3600086.0299127162,-1808.9149587010033,-1860.1003983016126,2854.817433418939
71.0,2563868.183671024,4701865.91894208,3602938.3068720344,-1812.8179545456078,-1866.5692322920077,2849.7341128073167
72.0,2562053.4144681566,4699996.115541468,3605785.498138331,-1816.7199518659618,-1873.0370721933432,2844.6460437683854
73.0,2560234.7437672922,4698119.844797693,3608627.598959571,-1820.6209500592668,-1879.5039186226204,2839.5532194178086
74.0,2558412.172568038,4696237.107704223,3611464.6045771665,-1824.520722770365,-1885.9693910209462,2834.455828772858
75.0,2556585.7023217515,4694347.906015651,3614296.510617117,-1828.4187895839568,-1892.4326793821529,2829.354283365654
76.0,2554755.33498887,4692452.242345459,3617123.313143898,-1832.3153126726393,-1898.8940580189228,2824.248439834453
77.0,2552921.071696406,4690550.117899613,3619945.007496786,-1836.2107004115824,-1905.354217171669,2819.137940109009
78.0,2551082.913588047,4688641.5339111155,3622761.589024116,-1840.1049348239321,-1911.813127561938,2814.0227945756633
79.0,2549240.8618267584,4686726.49164449,3625573.053085937,-1843.9979951665737,-1918.270755128935,2808.903016460128
80.0,2547394.917597714,4684804.992400858,3628379.395057036,-1847.8898575846106,-1924.7270604209043,2803.7786222093273
81.0,2545545.082111589,4682877.037523648,3631180.610330356,-1851.7804947174154,-1931.181997908745,2798.6496319232974
82.0,2543691.356608279,4680942.62840504,3633976.6943208827,-1855.6698752481025,-1937.6355151999742,2793.516069854144
83.0,2541833.742361093,4679001.766493248,3636767.642470064,-1859.5579633989837,-1944.0875521488488,2788.3779649671633
84.0,2539972.240681481,4677054.453300742,3639553.450250817,-1863.4447183501907,-1950.5380398426205,2783.2353515878785
85.0,2538106.8529243926,4675100.690413563,3642334.11317324,-1867.3300935784355,-1956.9868994383141,2778.0882701454684
86.0,2536237.580494324,4673140.479501866,3645109.626791108,-1871.214036106132,-1963.4340408467688,2772.936768015614
87.0,2534364.4248521803,4671173.822331869,3647879.986709271,-1875.0964856410865,-1969.8793612234294,2767.78090049373
88.0,2532487.387523042,4669200.720779419,3650645.1885920954,-1878.9773736004718,-1976.3227432421409,2762.620731910458
89.0,2530606.4701049794,4667221.176845385,3653405.228173092,-1882.856621989049,-1982.7640531286597,2757.456336908741
90.0,2528721.674279064,4665235.192673162,3656160.101265913,-1886.7341421141755,-1989.2031383998692,2752.2878019146156
91.0,2526833.001820751,4663242.770568585,3658909.8037769212,-1890.609833122464,-1995.6398252774961,2747.115226830356
92.0,2524940.454612819,4661243.913022607,3661654.3317195736,-1894.4835803194437,-2002.0739157232456,2741.938726980472
93.0,2523044.034660112,4659238.6227371385,3664393.681230882,-1898.3552532398608,-2008.505184034817,2736.7584353536367
94.0,2521143.7441063393,4657226.902654537,3667127.848590281,-1902.2247034336906,-2014.9333729343489,2731.574505191529
95.0,2519239.5852532447,4655208.75599127,3669856.8302412652,-1906.091761925025,-2021.358189069666,2726.3871129737236
96.0,2517331.5605824892,4653184.186276398,3672580.6228162283,-1909.95623628865,-2027.7792978407815,2721.1964618666098
97.0,2515419.6727806674,4651153.197395588,3675299.2231649985,-1913.8179072849452,-2034.1963174389675,2716.0027857122477
98.0,2513503.9247679194,4649115.79364152,3678012.628387653,-1917.6765249855816,-2040.6088119735941,2710.806353640277
99.0,2511584.3197306963,4647071.979771641,3680720.835872279,-1921.5318043048028,-2047.0162835475057,2705.607475411147
100.0,2509660.8611593097,4645021.761074425,3683423.843338475,-1925.3834198452532,-2053.4181630974635,2700.4065076103434
101.0,2507733.5528910058,4642965.143445446,3686121.6488874997,-1929.2309999475256,-2059.8137998161837,2695.203860828653
102.0,2505802.3991594147,4640902.133474792,3688814.2510601324,-1933.074119810015,-2066.202448917087,2690.0000079993624
103.0,2503867.4046513857,4638832.738547612,3691501.6489034984,-1936.9122935310006,-2072.583257464692,2684.7954940884374
104.0,2501928.5745723527,4636756.966959863,3694183.8420483093,-1940.7449649027549,-2078.9552479628474,2679.59094735072
105.0,2499985.91472158,4634674.828051686,3696860.8307982,-1944.571496739285,-2085.31729932921,2674.3870924354997
106.0,2498039.431578874,4632586.332361205,3699532.6162331803,-1948.3911585034803,-2091.668124812655,2669.1847656443715
107.0,2496089.1324045733,4630491.491802061,3702199.2003294886,-1952.2031119561289,-2098.0062463534996,2663.9849326997064
108.0,2494135.025354962,4628390.319868498,3704860.5860985797,-1956.0063944878057,-2104.329964790959,2658.7887094721664
109.0,2492177.1196155977,4626282.831872479,3707516.777748433,-1959.7998997471295,-2110.637325212825,2653.5973861578386
110.0,2490215.4255554676,4624169.045218072,3710167.7808708954,-1963.582355123479,-2116.9260766394436,2648.412455498241
111.0,2488249.9549053507,4622048.9797192,3712813.6026594294,-1967.3522955407389,-2123.19362507388,2643.235645738663
112.0,2486280.720964386,4619922.657967924,3715454.2521623727,-1971.1080329432152,-2129.4369788016193,2638.068959141616
113.0,2484307.7388394643,4617790.105761597,3718089.7405777127,-1974.8202375799883,-2135.604657843709,2632.945247566793
114.0,2482331.080489226,4615651.448652237,3720720.1426575063,-1978.4273128143977,-2141.588519102428,2627.9336281081196
115.0,2480350.8842138355,4613506.928723392,3723345.607833929,-1981.9442500765435,-2147.414654070046,2623.0181903727353
116.0,2478367.191989073,4611356.619344097,3725966.1790382518,-1985.4164429211523,-2153.1624919828027,2618.1490492029116
117.0,2476380.051327993,4609200.6037394265,3728581.9059323347,-1988.8379623265937,-2158.8214761745185,2613.3334237688687
118.0,2474389.51606442,4607038.976391748,3731192.8458857895,-1992.2020392315462,-2164.379547176417,2608.5795825412497
119.0,2472395.64724953,4604871.844645074,3733799.065097417,-1995.5009428996127,-2169.8229245729744,2603.896997277392
120.0,2470398.5141786207,4602699.330542602,3736400.6398803443,-1998.7258414155804,-2175.135857241228,2599.296518065501
121.0,2468398.195566699,4600521.572930591,3738997.658133548,-2001.866642317269,-2180.3003383004107,2594.790572325699
122.0,2466394.780893986,4598338.729866001,3741590.2210249957,-2004.9118108118419,-2185.2957803923637,2590.39339032094
123.0,2464388.371945075,4596150.981369806,3744178.44491419,-2007.8481628608424,-2190.098646660801,2586.1212597007398
124.0,2462379.0845682644,4593958.532572679,3746762.463544397,-2010.6606302377768,-2194.682032616809,2581.9928114360664
125.0,2460367.0506845997,4591761.617304573,3749342.430537062,-2013.3319945619442,-2199.0151940262876,2578.0293391246814
126.0,2458352.4205791405,4589560.502184627,3751918.5222226465,-2015.842587353196,-2203.063016192522,2574.2551529605407
127.0,2456335.3655098933,4587355.491272188,3754490.9408429833,-2018.169953298755,-2206.785420547705,2570.6979685663246
128.0,2454316.080672543,4585146.931343531,3757059.918159779,-2020.2884743364993,-2210.1367055061273,2567.389329246944
129.0,2452294.7885612203,4582935.217861176,3759625.719501477,-2022.168952893233,-2213.0648202612065,2564.3650578432716
130.0,2450271.7427667566,4580720.801703009,3762188.6482754657,-2023.7781537880655,-2215.510572834406,2561.6657310288865
131.0,2448247.232253644,4578504.196715507,3764749.050963535,-2025.078306114534,-2217.4067775313742,2559.3371643507853
132.0,2446221.5861545275,4576285.988147946,3767307.3226041673,-2026.0265689804219,-2218.6773523744196,2557.4308903082274
133.0,2444195.1791156833,4574066.842010758,3769863.9127441514,-2026.574468630366,-2219.23638448352,2556.0046039423905
134.0,2442168.4372172668,4571847.515378979,3772419.331812052,-2026.6673194149043,-2218.9871912659146,2555.122540564509
135.0,2440141.8444768535,4569628.867628226,3774974.1578252804,-2026.243647604948,-2217.821418076288,2554.8557382053696
136.0,2438115.949922057,4567411.872542826,3777529.043288463,-2025.2346455522347,-2215.6182292145677,2555.28212307347
137.0,2436091.375185749,4565197.631169797,3780084.7220714274,-2023.5636943683494,-2212.2436690703034,2556.486340206815
138.0,2434068.82253332,4562987.385204686,3782642.0159688764,-2021.1460063473787,-2207.5502937724814,2558.559234415181
139.0,2432049.0831730543,4560782.530582252,3785201.8405402577,-2017.8884537534323,-2201.3772004931234,2561.596870191861
140.0,2430033.0456258133,4558584.6308037,3787765.20970926,-2013.6896678525954,-2193.550610092934,2565.6989662447013
141.0,2428021.703837349,4556395.429362066,3790333.238472747,-2008.4405102550518,-2183.8851865720935,2570.966614644276
142.0,2426016.164605303,4554216.860430555,3792907.1429385487,-2002.0250358262565,-2172.186299565714,2577.499161761254
143.0,2424017.6537656966,4552051.056762935,3795488.2367962697,-1993.5234485981055,-2156.84892366454,2586.2982899472117
144.0,2422029.117708107,4549903.162583226,3798079.739518443,-1981.121478074463,-2134.716867608018,2599.3051199268084
145.0,2420055.4108095476,4547781.623027719,3800686.8470361233,-1965.3126693917438,-2106.7196496776305,2615.7404519356787
146.0,2418098.4923693235,4545689.723283871,3803311.2204223145,-1947.5048397132196,-2075.390858120285,2633.7988667201716
147.0,2416160.401130121,4543630.841311478,3805954.4447695636,-1927.6336053581908,-2040.666980302427,2653.3774464747403
148.0,2414243.225158607,4541608.389323266,3808617.975315264,-1905.6690581575967,-2002.5495637357235,2674.3184610900935
149.0,2412349.063013806,4539625.742184007,3811303.081691744,-1881.6237913130317,-1961.1169029455632,2696.408932486316
150.0,2410479.977575981,4537686.155517375,3814010.7931802366,-1855.559521742398,-1916.5327070150524,2719.3837429732084
151.0,2408637.943970321,4535792.6767699765,3816741.84917769,-1827.5918488199823,-1869.0508700218052,2742.9330547216814
152.0,2406824.793878341,4533948.0537773315,3819496.65928968,-1797.8923340896145,-1819.0151921664365,2766.713955988176
153.0,2405042.159302142,4532154.646385644,3822275.2770896666,-1766.6872469175141,-1766.8532990827225,2790.365650088992
154.0,2403291.419384506,4530414.347179166,3825077.390589858,-1734.252623297507,-1713.0646055452526,2813.5269236811437
155.0,2401573.654055547,4528728.517174553,3827902.330937029,-1700.9056975743733,-1658.2028853911906,2835.8542018199805
156.0,2399889.6079893573,4527097.941408384,3830749.098993498,-1666.9932237381581,-1602.85471574869,2857.0383293787017
157.0,2398239.6676080707,4525522.807743056,3833616.4075957863,-1632.8776172974613,-1547.6156199336983,2876.8183658374473
158.0,2396623.8527547624,4524002.710168516,3836502.735725173,-1598.9221353663597,-1493.0660234233364,2894.991119323531
159.0,2395041.823337338,4522536.675696209,3839406.3898344333,-1565.4764129184186,-1439.7491039074957,2911.4157790520694
160.0,2393492.8999289256,4521123.211960701,3842325.567283277,-1532.863572115777,-1388.1522773387842,2926.013692433946
161.0,2391976.0961931064,4519760.3711415315,3845258.417219301,-1501.3698505121283,-1338.6935018482618,2938.7639333510306
162.0,2390490.1602279013,4518445.824957005,3848203.095149979,-1471.237318420317,-1291.7129240026698,2949.695719116833
163.0,2389033.6215562657,4517176.945293526,3851157.808657535,-1442.65985471569,-1247.4697629050352,2958.8789128705394
164.0,2387604.84051847,4515950.885431195,3854120.85297572,-1415.7821944835596,-1206.1438245517202,2966.413811813807
165.0,2386202.0571672986,4514764.657644423,3857090.6362811625,-1390.7015986184124,-1167.8407139135525,2972.4212270311546
166.0,2384823.437321233,4513615.204003368,3860065.6954297824,-1367.47154362523,-1132.5996719039977,2977.033581320429
167.0,2383467.114080048,4512499.458300615,3863044.7034438034,-1346.1067834901623,-1100.4029808645137,2980.3874559544493
168.0,2382131.223754253,4511414.398041639,3866026.4703416913,-1326.5891723399982,-1071.1860092189163,2982.617755527841
169.0,2380813.935735368,4510357.086282177,3869009.938954859,-1308.8737275640015,-1044.84715386061,2983.8534592520446
170.0,2379513.476299125,4509324.703733917,3871994.1772601954,-1292.8945302029606,-1021.2571451650001,2984.2147946513724
171.0,2378228.1466749622,4508314.571991847,3874978.368544162,-1279.313780971337,-1001.3955004890449,2983.60169744608
172.0,2376954.848737182,4507321.912732939,3877961.3806550875,-1269.444486681139,-987.2250605281442,2981.743324523093
173.0,2375689.2577016,4506340.121870791,3880941.855193208,-1262.2828152263537,-977.1942319343798,2979.0202153516
174.0,2374430.2831067294,4505367.5242690705,3883919.4210857907,-1256.164759672014,-968.7641759300604,2975.9501514791045
175.0,2373176.928182256,4504402.5935189305,3886893.755496166,-1250.9990200893953,-961.7906513474882,2972.5777237315197
176.0,2371928.2850665506,4503443.9429663755,3889864.576533254,-1246.6993568160105,-956.138554518111,2968.941063508624
177.0,2370683.529468624,4502490.316409894,3892831.6376231834,-1243.185048867017,-951.6822367613204,2965.073050128529
178.0,2369441.9149688166,4501540.578492853,3895794.722633511,-1240.3811422812287,-948.3056576512754,2961.0020255297422
179.0,2368202.7671840615,4500593.705094592,3898753.641674243,-1238.2185005894862,-945.902275136672,2956.7524316334166
180.0,2366965.4779676376,4499648.7739425795,3901708.2274967777,-1236.6337085238192,-944.3747463626787,2952.345369905932
181.0,2365729.499767014,4498704.955601866,3904658.332414055,-1235.5688709146343,-943.6344985957257,2947.799086852465
182.0,2364494.3402258083,4497761.504945388,3907603.8256704826,-1234.9713403980713,-943.6012170235626,2943.1293915279675
183.0,2363259.5570862177,4496817.753167819,3910544.5911971107,-1234.79340035934,-944.2022854643874,2938.350012255134
184.0,2362024.7534250896,4495873.100374459,3913480.525694993,-1234.991923442809,-945.3722071638331,2933.4728999801446
185.0,2360789.573239332,4494927.008753492,3916411.536997071,-1235.528020881582,-947.0520256361924,2928.508485441329
186.0,2359553.6973833265,4493978.996323187,3919337.5426658755,-1236.3666938540991,-949.1887597874738,2923.465896793874
187.0,2358316.839851624,4493028.631233917,3922258.4687906587,-1237.4764947837684,-951.7348630391061,2918.3531436207704
188.0,2357078.744393759,4492075.526597109,3925174.248953117,-1238.8292039660737,-954.6477127210237,2913.1772725454066
189.0,2355839.1814436917,4491119.335808475,3928084.8233357496,-1240.3995249583386,-957.889133376535,2907.944498947123
190.0,2354597.9453438423,4490159.748330356,3930990.1379510113,-1242.1648006527685,-961.4249556609429,2902.6603186111897
191.0,2353354.851842386,4489196.485897153,3933890.143972972,-1244.1047508772463,-965.2246111077257,2897.329602566082
192.0,2352109.735842088,4488229.29910814,3936784.7971561435,-1246.2012315676548,-969.2607620432973,2891.95667782519
